Gesture,Landmarks
None,"[0.15525588393211365, 1.0142427682876587, 0.14105667173862457, 0.9267807006835938, 0.15632644295692444, 0.8441981673240662, 0.17265962064266205, 0.7903143763542175, 0.18985575437545776, 0.7772126793861389, 0.19550082087516785, 0.8168309330940247, 0.29391783475875854, 0.7553260922431946, 0.3114268183708191, 0.7793376445770264, 0.29676809906959534, 0.8128928542137146, 0.23646864295005798, 0.8692437410354614, 0.3477582037448883, 0.7944716215133667, 0.3610987663269043, 0.8234547972679138, 0.34116342663764954, 0.8597104549407959, 0.2751011252403259, 0.9295112490653992, 0.3809967041015625, 0.8548139929771423, 0.38469555974006653, 0.8788734674453735, 0.3614973723888397, 0.9092395901679993, 0.3085375428199768, 0.9936354160308838, 0.39360707998275757, 0.9304831027984619, 0.39817774295806885, 0.9372835159301758, 0.37669792771339417, 0.9579035043716431]"
None,"[0.17026948928833008, 1.015258550643921, 0.12919601798057556, 0.9305797219276428, 0.1259452998638153, 0.8395085334777832, 0.12430372834205627, 0.7596381306648254, 0.10803090035915375, 0.6945735216140747, 0.22887678444385529, 0.7617732882499695, 0.31829723715782166, 0.7224351763725281, 0.3380111753940582, 0.7359522581100464, 0.3315971791744232, 0.7563921213150024, 0.27859732508659363, 0.8126870393753052, 0.3701741099357605, 0.7632458806037903, 0.3931817412376404, 0.7837434411048889, 0.3912387192249298, 0.8080934882164001, 0.3183777332305908, 0.8765743374824524, 0.4082435071468353, 0.8188114166259766, 0.41333451867103577, 0.8514755368232727, 0.39645689725875854, 0.8811947107315063, 0.3487248718738556, 0.9501794576644897, 0.42540282011032104, 0.8926195502281189, 0.4275566339492798, 0.9095644950866699, 0.4087654650211334, 0.9339332580566406]"
None,"[0.2522944509983063, 1.0521059036254883, 0.20463085174560547, 0.9395289421081543, 0.19034628570079803, 0.8088284730911255, 0.1840120255947113, 0.7014689445495605, 0.15292587876319885, 0.634139895439148, 0.28979191184043884, 0.6927376389503479, 0.3870934545993805, 0.6715775728225708, 0.3937981128692627, 0.729562520980835, 0.3708797097206116, 0.7686854600906372, 0.3359988331794739, 0.7326366901397705, 0.4367936849594116, 0.7329257726669312, 0.4272271990776062, 0.7946752309799194, 0.39099618792533875, 0.8225020170211792, 0.38013792037963867, 0.7934805750846863, 0.47257521748542786, 0.7913385629653931, 0.4557490050792694, 0.8447675704956055, 0.41898205876350403, 0.868549108505249, 0.4178868532180786, 0.8680386543273926, 0.4876247048377991, 0.8569537401199341, 0.4674108922481537, 0.8996591567993164, 0.4340904951095581, 0.9217644929885864]"
None,"[0.2579842209815979, 1.0400869846343994, 0.20766180753707886, 0.9233003854751587, 0.19410651922225952, 0.7940989136695862, 0.19114930927753448, 0.6898343563079834, 0.15901732444763184, 0.6205841302871704, 0.28839075565338135, 0.6813031435012817, 0.38717854022979736, 0.6682887673377991, 0.40723663568496704, 0.7167346477508545, 0.3972116708755493, 0.7540432810783386, 0.33997079730033875, 0.7197214365005493, 0.4422702193260193, 0.7186777591705322, 0.4390198290348053, 0.7741965651512146, 0.40762874484062195, 0.8069657683372498, 0.3865741193294525, 0.7810699939727783, 0.47790294885635376, 0.7773207426071167, 0.4636184573173523, 0.8294001817703247, 0.42797091603279114, 0.8574075698852539, 0.42572078108787537, 0.8557146787643433, 0.4942302107810974, 0.844820499420166, 0.47443652153015137, 0.8851782083511353, 0.4414319097995758, 0.9074987769126892]"
None,"[0.2750178575515747, 1.0366604328155518, 0.21930554509162903, 0.9228920936584473, 0.200863778591156, 0.7926294803619385, 0.19751402735710144, 0.6878889799118042, 0.16579177975654602, 0.6191776394844055, 0.29400280117988586, 0.6745074987411499, 0.39427661895751953, 0.6601784825325012, 0.41081973910331726, 0.7112099528312683, 0.3971095383167267, 0.7499045729637146, 0.3463260233402252, 0.7106924057006836, 0.45048123598098755, 0.7058055400848389, 0.447595477104187, 0.7622353434562683, 0.41554269194602966, 0.7953770160675049, 0.3942040205001831, 0.7666451334953308, 0.48789340257644653, 0.762108564376831, 0.47493040561676025, 0.8140050768852234, 0.43929362297058105, 0.8415775299072266, 0.4349861443042755, 0.8364063501358032, 0.5037804841995239, 0.8257641792297363, 0.48566699028015137, 0.8673184514045715, 0.4527907073497772, 0.8898409605026245]"
None,"[0.28308627009391785, 1.0365304946899414, 0.22570481896400452, 0.9236518144607544, 0.20672716200351715, 0.7941272258758545, 0.2026471346616745, 0.6870062351226807, 0.17028066515922546, 0.6167565584182739, 0.2986634373664856, 0.6704542636871338, 0.40139997005462646, 0.6501926779747009, 0.4153491258621216, 0.7054266929626465, 0.39733532071113586, 0.7463970184326172, 0.3501393795013428, 0.7045196294784546, 0.45537152886390686, 0.6957424283027649, 0.450203001499176, 0.7550964951515198, 0.4156898260116577, 0.7900787591934204, 0.3971911668777466, 0.7616764307022095, 0.49088409543037415, 0.7533122301101685, 0.4772151708602905, 0.8071532249450684, 0.4408295154571533, 0.8370852470397949, 0.4372180700302124, 0.8331480622291565, 0.5080970525741577, 0.8191528916358948, 0.4893103539943695, 0.8610825538635254, 0.45561710000038147, 0.8852923512458801]"
None,"[0.28470319509506226, 1.0353187322616577, 0.22682315111160278, 0.9237101078033447, 0.20775456726551056, 0.7924655675888062, 0.20387201011180878, 0.6865431070327759, 0.17049992084503174, 0.6178629994392395, 0.3033018708229065, 0.6684170365333557, 0.404063880443573, 0.6490547060966492, 0.41478314995765686, 0.7049943208694458, 0.3948265016078949, 0.743741512298584, 0.35513728857040405, 0.702003002166748, 0.4564565420150757, 0.6932563185691833, 0.4519498348236084, 0.7522063255310059, 0.41970619559288025, 0.7859015464782715, 0.4022127091884613, 0.7596448659896851, 0.4898291826248169, 0.7515718340873718, 0.47764116525650024, 0.8048077821731567, 0.44402003288269043, 0.8341865539550781, 0.4421635866165161, 0.8319207429885864, 0.5092449188232422, 0.8180246949195862, 0.4909535050392151, 0.8595139384269714, 0.4587717056274414, 0.8836488723754883]"
None,"[0.29181939363479614, 1.0304476022720337, 0.23288670182228088, 0.9194313287734985, 0.2125650942325592, 0.7901943922042847, 0.2063511610031128, 0.6848697662353516, 0.1722860038280487, 0.616161048412323, 0.302146852016449, 0.6673457622528076, 0.4045168459415436, 0.6463601589202881, 0.42060789465904236, 0.702678918838501, 0.4049838185310364, 0.7451499104499817, 0.35436925292015076, 0.6981022953987122, 0.46010762453079224, 0.6918071508407593, 0.4582516551017761, 0.7521408200263977, 0.4266500771045685, 0.7883246541023254, 0.4020436406135559, 0.7537413835525513, 0.4945683479309082, 0.751270055770874, 0.4831762909889221, 0.8065246343612671, 0.4490630626678467, 0.8368902802467346, 0.44294261932373047, 0.824858546257019, 0.5128899812698364, 0.8176558017730713, 0.4946807026863098, 0.8612704277038574, 0.4621345102787018, 0.8863480687141418]"
None,"[0.3065629303455353, 1.030009150505066, 0.2417675256729126, 0.9211041331291199, 0.21716228127479553, 0.7906862497329712, 0.21150460839271545, 0.6838510036468506, 0.1785728931427002, 0.6143083572387695, 0.30732017755508423, 0.6619250774383545, 0.40996938943862915, 0.6378824710845947, 0.4241136908531189, 0.6928711533546448, 0.40628015995025635, 0.7357587218284607, 0.359752357006073, 0.6933974623680115, 0.46352946758270264, 0.6826121807098389, 0.45918476581573486, 0.7435136437416077, 0.42635953426361084, 0.7808329463005066, 0.40878236293792725, 0.7487030029296875, 0.4997265338897705, 0.7378256916999817, 0.4880450963973999, 0.794242799282074, 0.4548766613006592, 0.8267027139663696, 0.45235729217529297, 0.8184108138084412, 0.5205925703048706, 0.8031484484672546, 0.5034592747688293, 0.847934901714325, 0.4729589819908142, 0.8741528987884521]"
None,"[0.30636733770370483, 1.0321784019470215, 0.2401217520236969, 0.9220641255378723, 0.21560487151145935, 0.7899256944656372, 0.20934270322322845, 0.6832406520843506, 0.17479242384433746, 0.6158896684646606, 0.3092745840549469, 0.6612499952316284, 0.405272901058197, 0.6375675201416016, 0.4214235544204712, 0.6898388266563416, 0.40755096077919006, 0.7324973344802856, 0.36327216029167175, 0.6915839314460754, 0.46096500754356384, 0.680868923664093, 0.45924869179725647, 0.7399370074272156, 0.430419385433197, 0.7789643406867981, 0.4129154682159424, 0.7470039129257202, 0.49824535846710205, 0.735914409160614, 0.48862218856811523, 0.7901169061660767, 0.4579024016857147, 0.8246082663536072, 0.4565320909023285, 0.8173916935920715, 0.523192286491394, 0.7987172603607178, 0.5072021484375, 0.8419114351272583, 0.4770842492580414, 0.8705928921699524]"
